"state","year","quarter","transaction_type","total_transaction","transaction_amount"
"arunachal-pradesh",2022,3,"Peer-to-peer payments","1967086","7365427284"
"arunachal-pradesh",2022,3,"Merchant payments","1316326","1413247143"
"arunachal-pradesh",2022,3,"Recharge & bill payments","649322","238448084"
"arunachal-pradesh",2022,3,"Financial Services","1997","4763325"
"arunachal-pradesh",2022,3,"Others","4687","3224949"
"arunachal-pradesh",2022,4,"Peer-to-peer payments","2251135","7768088688"
"arunachal-pradesh",2022,4,"Merchant payments","1704968","1669602213"
"arunachal-pradesh",2022,4,"Recharge & bill payments","669151","239412554"
"arunachal-pradesh",2022,4,"Financial Services","2617","3785469"
"arunachal-pradesh",2022,4,"Others","4838","4020774"
"arunachal-pradesh",2023,1,"Peer-to-peer payments","3879583","13170741327"
"arunachal-pradesh",2023,1,"Merchant payments","2922784","2802762028"
"arunachal-pradesh",2023,1,"Recharge & bill payments","1229475","409663161"
"arunachal-pradesh",2023,1,"Financial Services","4142","6310412"
"arunachal-pradesh",2023,1,"Others","6841","5101526"
"arunachal-pradesh",2023,2,"Peer-to-peer payments","4883817","15695323405"
"arunachal-pradesh",2023,2,"Merchant payments","4091876","3651614280"
"arunachal-pradesh",2023,2,"Recharge & bill payments","1374689","447452168"
"arunachal-pradesh",2023,2,"Financial Services","3392","5815474"
"arunachal-pradesh",2023,2,"Others","6714","5493337"
"assam",2018,1,"Recharge & bill payments","632092","93491181"
"assam",2018,1,"Peer-to-peer payments","318025","993525196"
"assam",2018,1,"Merchant payments","40482","34501623"
"assam",2018,1,"Financial Services","18172","4936862"
"assam",2018,1,"Others","48110","31349594"
"assam",2018,2,"Recharge & bill payments","984160","174427478"
"assam",2018,2,"Peer-to-peer payments","530781","2064314053"
"assam",2018,2,"Merchant payments","79307","73366345"
"assam",2018,2,"Financial Services","22773","7051505"
"assam",2018,2,"Others","46852","31425755"
"assam",2018,3,"Recharge & bill payments","1275136","254569069"
"assam",2018,3,"Peer-to-peer payments","843571","3424136710"
"assam",2018,3,"Merchant payments","159532","96783839"
"assam",2018,3,"Financial Services","22677","4741124"
"assam",2018,3,"Others","50935","30904248"
"assam",2018,4,"Recharge & bill payments","1703488","317661277"
"assam",2018,4,"Peer-to-peer payments","1279089","5284776455"
"assam",2018,4,"Merchant payments","667293","240563395"
"assam",2018,4,"Financial Services","28035","6331913"
"assam",2018,4,"Others","56267","38689819"
"assam",2019,1,"Recharge & bill payments","1993220","400281678"
"assam",2019,1,"Peer-to-peer payments","1976310","7291433301"
"assam",2019,1,"Merchant payments","494871","266644646"
"assam",2019,1,"Financial Services","20162","4612454"
"assam",2019,1,"Others","48442","39127458"
"assam",2019,2,"Recharge & bill payments","2512932","539315773"
"assam",2019,2,"Peer-to-peer payments","2293770","10035232821"
"assam",2019,2,"Merchant payments","573646","326844710"
"assam",2019,2,"Financial Services","13654","4037222"
"assam",2019,2,"Others","60927","49538663"
"assam",2019,3,"Peer-to-peer payments","2713539","11835800855"
"assam",2019,3,"Recharge & bill payments","2645302","639885373"
"assam",2019,3,"Merchant payments","513728","421380275"
"assam",2019,3,"Financial Services","8606","6403456"
